n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
MISIONES	CAPITAL	POSADAS	CENTRO	CORDOBA	2014	3300
BUENOS AIRES	LA MATANZA	LA TABLADA		OGORMAN	1752	1752
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	1696	1055
CORDOBA	CAPITAL	CORDOBA	CENTRO	AV DR VELEZ SARSFIELD	56	5000
MENDOZA	SAN RAFAEL	SAN RAFAEL		AV EL LIBERTADOR	329	5600
MENDOZA	RIVADAVIA	RIVADAVIA		VICUÑA PRADO	228	5577
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA PUEYRREDON	J CUBAS	2369	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	SAN NICOLAS	4274	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	1107	1074
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV B RIVADAVIA	611	1002
BUENOS AIRES	CARLOS TEJEDOR	TRES ALGARROBOS		PARAJE DRYSNALE SUR ESTE	6231	6231
BUENOS AIRES	LA MATANZA	RAMOS MEJIA		CHACABUCO	587	1704
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		DAVILA ADOLFO	170	1107
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN TELMO	GRAL SIMON BOLIVAR	1562	1141
SANTA FE	ROSARIO	ROSARIO	CENTRO	ESPAÑA	37	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	PTE H YRIGOYEN	476	1086
BUENOS AIRES		SAN NICOLAS DE LOS ARROYOS		MORENO	31	2900
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PARAGUAY	3949	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CORRIENTES	465	1043
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	730	1047
SANTA CRUZ		RIO GALLEGOS		BROWN		9400
CHUBUT	RAWSON	TRELEW	SAN DAVID	TTE P GARCIA	182	9100
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV CNEL M DORREGO	831	1414
BUENOS AIRES	EZEIZA	EZEIZA		AUTOPISTA RICHIERI		1804
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUEVA POMPEYA	PJE RAULET	129	1437
BUENOS AIRES	BARADERO	BARADERO		J O ROARKE	2408	2942
BUENOS AIRES	TRES DE FEBRERO	LOMA HERMOSA		AVENIDA MARQUEZ	99999	1657
BUENOS AIRES	LANUS	VALENTIN ALSINA		EREZCANO	2754	1822
MISIONES		POSADAS		AYACUCHO		3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEL PARQUE	ADOLFO P CARRANZA	2329	1417
SALTA	CAPITAL	SALTA		RN 51		4400
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	G JARAMILLO	4500	1430
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA REMEDIOS DE ESCALADA	AV CNEL DE MARINA ROSALES	1241	1826
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	MAIPU	1252	1006
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	AV DR L DE LA TORRE	2039	1440
BUENOS AIRES	TIGRE	TIGRE		AV D ROCHA	200	1648
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV C FOREST	355	1427
ENTRE RIOS	PARANA	PARANA	LAS ROSAS	AV ALMAFUERTE	3658	3100
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA SANTA RITA	JUAN A GARCIA	3638	1407
CORRIENTES	SANTO TOME	SANTO TOME		P BERTRAN	868	3340
BUENOS AIRES	QUILMES	QUILMES		CATAMARCA	1466	1878
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	3100	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	956	1047
CORDOBA	CAPITAL	CORDOBA	HOGAR PROPIO	ONCATIVO	2457	5004
CORDOBA		VILLA ASCASUBI		ZONA RURAL		5935
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	440	1087
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	423	1049
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV F LACROZE	1752	1426
RIO NEGRO	ADOLFO ALSINA	VIEDMA		BO AMERICA		8500
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	SAN JOSE II	AV PRES GRAL J A ROCA	2965	4000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	790	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	PTE M T DE ALVEAR	882	1058
CHACO	SAN FERNANDO	RESISTENCIA	VILLA CENTRAL NORTE	JULIO TORT	336	3500
CORDOBA	CAPITAL	CORDOBA	JARDIN	E CIVIT	765	5016
SANTA CRUZ	DESEADO	LAS HERAS		AV RIO GALLEGOS	220	9017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	COSQUIN	2448	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DOMINGO F SARMIENTO	2707	1045
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CORRIENTES	415	1043
CATAMARCA	CAPITAL	SAN FDO DEL VALLE DE CATAMARCA		RIVADAVIA	837	4700
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SCALABRINI ORTIZ	1668	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	756	1087
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	MAIPU	1252	1006
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AV B RIVADAVIA	926	1002
CORDOBA		CORDOBA		BOULEVARD LOS ANDES	3129	5008
BUENOS AIRES	LANUS	LANUS OESTE	VILLA LIBERTAD	MENDOZA	1319	1824
BUENOS AIRES		PARQUE RECONQUISTA		URUGUAY		1824
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	DR L DE LA TORRE	1609	1766
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE AVELLANEDA	PRIMERA JUNTA	4750	1407
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN TELMO	PJE SAN LORENZO	220	1064
BUENOS AIRES	ALMIRANTE BROWN	ADROGUE	ALMIRANTE BROWN	DR J JOSE CASTELLI	1570	1846
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORESTA	ESCALADA DE SAN MARTIN	3828	1407
CORDOBA		RIO TERCERO		TUCUMAN	220	5850
SANTA FE	ROSARIO	ROSARIO	CENTRO	CNEL M DORREGO	156	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	LINIERS	AV B RIVADAVIA	10913	1408
RIO NEGRO	GENERAL ROCA	GENERAL ROCA	CASCO CENTRICO	TUCUMAN	513	8332
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	439	1004
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	DR B DE IRIGOYEN	1284	1138
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TTE GRAL JUAN D PERON	1492	1037
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	LINIERS	CNEL P MURGUIONDO	936	1408
SALTA		SAN RAMON DE LA NUEVA ORAN		CHACO		4530
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV JUJUY	460	1083
MENDOZA		GODOY CRUZ		INDEPENDENCIA	560	5501
BUENOS AIRES	LOMAS DE ZAMORA	SAN JOSE	9 DE JULIO	SAENZ PEÑA	2518	1832
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	GRAL HORNOS	1476	1272
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	J BARROS PAZOS	5682	1439
SANTA FE	CASEROS	CASILDA	SAN CARLOS	CARLOS CASADO	2244	2170
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	COMBATE DE LOS POZOS	23	1079
BUENOS AIRES	TRENQUE LAUQUEN	TRENQUE LAUQUEN		AV GRAL JOSE F URIBURU	39	6400
CORDOBA			BARRIO SANTA ISABEL	AVENIDA ARMADA ARGENTINA	5698	5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	HERRERA	541	1295
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	TOMAS ANTONIO VALLE	315	1424
MISIONES	CAPITAL	POSADAS	CENTRO	GRAL SIMON BOLIVAR	2067	3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	PTE H YRIGOYEN	615	1086
BUENOS AIRES	SAN ISIDRO	MARTINEZ		BERNARDO DE YRIGOYEN	330	1072
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	PTE H YRIGOYEN	2326	1089
BUENOS AIRES	MERLO	LIBERTAD		P RIVAROLA	675	1716
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV CNEL DIAZ	1427	1425
SANTA FE	SAN LORENZO	CARCARAÑA		SAN MARTIN	1162	2138
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	MONTAÑESES	2490	1428
CORDOBA	CAPITAL	CORDOBA	CENTRO	ROSARIO DE SANTA FE	275	5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA SANTA RITA	SAN BLAS	3241	1416
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		CUCHA CUCHA	255	1405
CORDOBA	RIO CUARTO	RIO CUARTO	CENTRO	SOBREMONTE	685	5800
BUENOS AIRES	ESCOBAR	BELEN DE ESCOBAR		AV GRAL SAN MARTIN	1625	1625
RIO NEGRO	BARILOCHE	SAN CARLOS DE BARILOCHE	PINAR DE FESTA	AV E BUSTILLO	7200	8400
CHUBUT		GOBERNADOR COSTA		AVENIDA JULIO A ROCA		9223
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	VIRREY G AVILES	2725	1426
BUENOS AIRES		DOMSELAAR		RUTA 210		1984
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	25 DE MAYO	786	1002
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	ECUADOR	1536	1425
MENDOZA	MAIPU	COQUIMBITO		RODRIGUEZ PEÑA		5513
BUENOS AIRES	TRES DE FEBRERO	CIUDADELA		LIBERTADOR GRAL SAN MARTIN	528	1702
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	1328	1053
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	C ARENAL	4864	1427
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	25 DE MAYO	577	1002
BUENOS AIRES	MERLO	LIBERTAD		GRAL GUILLERMO MILLER	542	1716
CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		AV ESPAÑA	402	3540
MENDOZA	JUNIN	JUNIN		NICOLAS E VIDELA	284	5573
CORDOBA	CAPITAL	CORDOBA	AMPLIACION EMPALME	PICHANAS	2226	5006
BUENOS AIRES	GENERAL VIAMONTE	LOS TOLDOS		L N ALEM	369	6015
BUENOS AIRES	MORON	HAEDO		SUIPACHA	339	1706
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	PJE FINLANDIA	1333	1440
CORDOBA	CAPITAL	CORDOBA	ALBERDI	AV DUARTE QUIROS	1795	5002
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	JUEZ TEDIN	2733	1425
CORDOBA	CAPITAL	CORDOBA	CENTRO	AV E F OLMOS	96	5000
ENTRE RIOS		COLON		24 NORTE	81	3280
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	CULPINA	1374	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	V CAMARGO	960	1414
BUENOS AIRES	AVELLANEDA	WILDE		RONDEAU	248	1875
CHUBUT	RAWSON	TRELEW	LOS OLMOS	PTE H YRIGOYEN	1045	9100
CORDOBA	CAPITAL	CORDOBA	SAN VICENTE	A GARZON	3252	5006
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	PRES CARLOS PELLEGRINI	1363	1011
BUENOS AIRES	AVELLANEDA	SARANDI		CARABELAS	2328	1872
BUENOS AIRES	CARLOS TEJEDOR	TRES ALGARROBOS		DIAG GRAL SAN MARTIN	271	6231
SANTA FE		ROSARIO		ECHARCE	2151	2000
CORDOBA	CAPITAL	CORDOBA	VILLA AZALAIZ	SAN FERNANDO	1136	5012
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	C ARENAL	3325	1426
SANTA FE	ROSARIO	ROSARIO	CENTRO	L N ALEM	1683	2000
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA		QUIRNO COSTA	901	1826
SANTA FE	CONSTITUCION	VILLA CONSTITUCION		PEÑA	4433	2919
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR M MORENO	2340	1094
BUENOS AIRES	VICENTE LOPEZ	FLORIDA		OAHIGGINS	969	1602
NEUQUEN		SAN MARTIN DE LOS ANDES		PARAJE EL OASIS		8370
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	E CORVALAN	2371	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	ESMERALDA	517	1007
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	BRASIL	1314	1154
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	AV GRAL DIAZ VELEZ	3957	1200
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV CORRIENTES	3247	1193
BUENOS AIRES	SAN ISIDRO	ACASSUSO		AV DEL LIBERTADOR	15160	1640
NEUQUEN		NEUQUEN		JOSE ROZAS	1130	8300
MENDOZA		SAN JOSE	DEPTO. GUAYMALLEN	LAMADRID		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	PTE M T DE ALVEAR	1212	1058
SANTA FE	ROSARIO	ROSARIO	NUESTRA SEÑORA DE LOURDES	MENDOZA	2699	2000
MISIONES		VILLA BONITA		VENEZUELA		3361
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	AV CNEL I WARNES	170	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	PALESTINA	838	1182
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	5089	1425
CATAMARCA	CAPITAL	SAN FDO DEL VALLE DE CATAMARCA		MAESTRO QUIROGA	40	4700
CORDOBA	GENERAL ROCA	DEL CAMPILLO		AV GRAL SAN MARTIN	325	6271
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV DEL LIBERTADOR	498	1001
BUENOS AIRES	SAN ISIDRO	BECCAR	CONSTITUCION	JOSE ENRIQUE RODO	1936	1138
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	LOS TALLERES	F D ALMEYRA	2515	1826
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	EL BAJO	PROVINCIA DE MENDOZA	236	4000
MISIONES	LIBERTADOR GRAL SAN MARTIN	GARUHAPE		LOTE 28 SECCION 1 S/N		3334
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	BRAGADO	5562	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	M GUERRICO	5492	1439
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SUIPACHA	268	1008
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA GENERAL MITRE	SAN BLAS	1948	1416
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	AV CASEROS	2118	1264
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	1363	1137
BUENOS AIRES	LA MATANZA	RAMOS MEJIA		J GONZALEZ CASTILLO	509	1704
LA PAMPA	CONHELO	WINIFREDA		RIVADAVIA	119	6313
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEL PARQUE	GRAL ALVAREZ CONDARCO	2626	1417
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		SAENZ PEAA ROQUE		1035
BUENOS AIRES	ALMIRANTE BROWN	GLEW		PUEYRREDON	2250	1856
MENDOZA		LAS HERAS		LOS ALERCES	1451	5539
SANTA FE	ROSARIO	ROSARIO	CENTRO	GRAL J J DE URQUIZA	2032	2000
BUENOS AIRES	GENERAL SAN MARTIN	VILLA BALLESTER		ARTIGAS	883	1653
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	RECONQUISTA	266	1003
LA RIOJA	CAPITAL	LA RIOJA	CENTRO	AV RIVADAVIA	702	5300
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		AV PTE J D PERON	4186	1650
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	CENTRO	PROVINCIA DE MENDOZA	654	4000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	GRITO DE ASENCIO	3455	1437
CORDOBA	CAPITAL	CORDOBA	LAS ROSAS	NAZARET	3399	5009
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHAS	LA PAMPA	5108	1431
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	11 DE SEPTIEMBRE	1503	1426
FORMOSA	FORMOSA	FORMOSA		BO VILLA DEL CARMEN		3600
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA GENERAL MITRE	AV GAONA	2991	1416
CORDOBA		CORDOBA		FELIX PAZ	1484	5010
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	CNEL R L FALCON	1638	1406
BUENOS AIRES	VICENTE LOPEZ	FLORIDA OESTE		AV B MITRE	1834	1602
CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	PRES ROQUE SAENZ PEÑA	1334	5000
CORDOBA	CAPITAL	CORDOBA	CENTRO	LIMA	67	5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	D PAROISSIEN	4170	1430
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	AV CORRIENTES	5225	1414
SANTA FE	ROSARIO	ROSARIO	CENTRO	SAN JUAN	501	2000
BUENOS AIRES	GENERAL SAN MARTIN	VILLA LYNCH	PTDO. GENERAL SAN MARTIN	CALLE 99 CUENCA		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	873	1092
MENDOZA	CAPITAL	MENDOZA		PRES GRAL J A ROCA	683	5500
CORDOBA	CAPITAL	CORDOBA	1RA JUNTA	C GAITO	1446	5010
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PATERNAL	JOSE IGNACIO AÑASCO	2577	1416
BUENOS AIRES	LA PLATA	LA PLATA		RP 11	3602	1900
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	CNEL CHARLONE	766	1427
SANTA FE		GALVEZ		AVENIDA JORGE NEWBERY	444	2252
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	J MARMOL	1658	1255
BUENOS AIRES	MORON	MORON		M BURUCUYA	550	1708
SANTA FE	ROSARIO	ROSARIO	CENTRO	1 DE MAYO	1519	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	PRES CARLOS PELLEGRINI	37	1009
SANTA FE		NELSON		RUTA 11		3032
SANTA FE	ROSARIO	ROSARIO	CENTRO	SAN LORENZO	1465	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	LIBERTAD	1279	1012
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		BERON DE ESTRADA	6559	1439
BUENOS AIRES	VICENTE LOPEZ	MUNRO		EDUARDO SIVORI	5456	1605
CORDOBA	CAPITAL	CORDOBA	GRAL PAZ	AV 24 DE SEPTIEMBRE	1187	5004
CORDOBA	CAPITAL	CORDOBA	ALBERDI	SANTA ROSA	715	5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	DR B DE IRIGOYEN	972	1072
LA RIOJA	CAPITAL	LA RIOJA	CENTRO	DR PELAGIO B LUNA	657	5300
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		GAVA	699	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR L PASTEUR	741	1028
CORDOBA		CORDOBA		AVENIDA HIPOLITO YRIGOYEN	660	5000
CORDOBA	CAPITAL	CORDOBA	CENTRO	DEAN FUNES	454	5000
BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		LAS HERAS	2567	1646
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	AV DEL LIBERTADOR	5881	1428
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 39	1755	1650
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	VILLA ALEM	BAT DE AYACUCHO	945	4000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE AVELLANEDA	M MARTINEZ CASTRO	1138	1407
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR J JOSE PASO	31	1031
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	J BEAUCHEF	359	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	JURAMENTO	2089	1428
BUENOS AIRES	SAN ISIDRO	ACASSUSO		MANZONE	1027	1640
MISIONES	MONTECARLO	MONTECARLO		AV DEL LIB G SAN MARTIN		3384
SALTA		SAN RAMON DE LA NUEVA ORAN		GUEMES		4530
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PATERNAL	GRAL M A RODRIGUEZ	2336	1416
CHUBUT	ESCALANTE	COMODORO RIVADAVIA	CENTRO	AV RIVADAVIA	1797	9000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	MANUEL ARTIGAS	6035	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AYACUCHO	1640	1112
BUENOS AIRES	TANDIL	TANDIL		9 DE JULIO	430	7000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	GUAYAQUIL	150	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	AV CORRIENTES	6041	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	1539	1050
BUENOS AIRES	MORENO	LA REJA	CORTEJARENA	SOFOCLES	1577	1744
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA SOLDATI	BERON DE ASTRADA	2694	1437
