n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
SANTA FE	ROSARIO	ROSARIO	PRESIDENTE ROQUE SAENZ PEÑA	PAGO DE LOS ARROYOS	6713	2011
LA PAMPA		GENERAL PICO		JUAN BAUTISTA ALBERDI	951	6360
BUENOS AIRES		BELEN DE ESCOBAR		RUTA 9		1625
CORDOBA	CAPITAL	CORDOBA	VILLA PAEZ	DR M PODESTA	2520	5003
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV GRAL JUAN M DE PUEYRREDON	1064	1118
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	ARISTOBULO DEL VALLE	484	1161
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1217	1093
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AV B RIVADAVIA	602	1002
BUENOS AIRES		GARIN		RUTA PANAMERICANA		1619
BUENOS AIRES	MORON	EL PALOMAR		EVENIDA WERNICKE	311	1684
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CAMPOS SALLES	2289	1429
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	BRUNO M DE ZABALA	2443	1426
BUENOS AIRES	LANUS	LANUS OESTE	VILLA DE LOS INDUSTRIALES	TACUARI	2249	1824
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	CNEL CHARLONE	766	1427
MISIONES		GARUPA		RUTA 12		
NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FARREL	L N ALEM	349	8300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	J MARTI	1531	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	2205	1123
BUENOS AIRES	ALMIRANTE BROWN	LONGCHAMPS		RUTA 210		1854
SANTA FE	ROSARIO	ROSARIO	REMEDIOS DE ESCALADA DE SAN MARTIN	CORDOBA	3441	2002
CORDOBA	RIO CUARTO	RIO CUARTO	INDUSTRIAL	SARMIENTO	2781	5800
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	CHARCAS	4864	1766
SANTA FE		VERA		SAN MARTIN		3550
BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		AV DEL LIBERTADOR	4189	1636
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV C FOREST	355	1427
CORDOBA	TERCERO ARRIBA	RIO TERCERO	BELGRANO	AV PTE H YRIGOYEN	1193	5850
BUENOS AIRES	MORON	EL PALOMAR		AV PTE J D PERON	3133	1684
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010
SANTA FE		LAS PAREJAS		SIN DIRECCION		2505
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	ROSARIO	200	1424
BUENOS AIRES	TRES DE FEBRERO	CIUDADELA		PTE H YRIGOYEN	1445	1702
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	COCHABAMBA	2101	1766
CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		AV COLON	860	3540
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	1480	1060
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2823	1198
CORDOBA		CORDOBA		AVENIDA CIRCUNVALACION		5016
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV B TISCORNIA	1100	1642
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	129	1642
BUENOS AIRES	LA MATANZA	LA TABLADA		CALLAO	441	1766
CHUBUT	RAWSON	TRELEW	CENTRO	PARAGUAY	729	9100
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	AV M EVA DUARTE DE PERON	5128	1439
MENDOZA		GENERAL GUTIERREZ		R PEAA		5511
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	CALLE SAN LORENZO		
CORDOBA		ALMAFUERTE		LEANDRO NICEFORO ALEM		5854
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV PRES MANUEL QUINTANA	325	1014
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	CHARCAS	3073	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV GRAL JUAN M DE PUEYRREDON	480	1032
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	FREIRE	932	1426
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SAN JOSE	1469	1136
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	CAÑADA DE GOMEZ	1534	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	661	1001
BUENOS AIRES	MERLO	MERLO		AVELLANEDA	486	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	CALDERON DE LA BARCA	2261	1417
CORDOBA		CORDOBA		AVENIDA DON BOSCO	10	5000
CORDOBA	SANTA MARIA	ALTA GRACIA	CARLOS PELLEGRINI	AV PELLEGRINI	971	5186
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CRISOLOGO LARRALDE	1890	1429
BUENOS AIRES	LOMAS DE ZAMORA	BANFIELD		FELIX DE AZARA	1780	1828
BUENOS AIRES	SAN ISIDRO	BECCAR		BRASIL	440	1643
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1189	1092
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	PINTO	4851	1429
BUENOS AIRES	MORON	HAEDO		GDOR E CASTRO	729	1706
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA EDEN ARGENTINO	AV GRAL SAN MARTIN	3694	1826
BUENOS AIRES	TRES DE FEBRERO	JOSE INGENIEROS	PARTIDO 3 DE FEBRERO	BRANDSEN		2
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	540	1053
SANTA FE	ROSARIO	ROSARIO	CENTRO	CORDOBA	1438	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084
ENTRE RIOS	CONCORDIA	CONCORDIA		SAN LORENZO OESTE	748	3200
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR M MORENO	1417	1093
SANTA FE	LAS COLONIAS	FRANCK		PRES BERNARDINO RIVADAVIA	1998	3009
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	DR C TEJEDOR	733	1424
BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AV BDIER J M DE ROSAS	1590	1752
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 84	4357	1650
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	INT CAMPOS		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	VIRREY LINIERS	1935	1241
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CNEL N VEGA	5047	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	478	1087
BUENOS AIRES	PEHUAJO	PEHUAJO		CDORO P LUIS ZANNI	253	6450
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PEREYRA L	2536	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	711	1073
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	BALCARCE	248	1064
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	T GARCIA	1963	1426
BUENOS AIRES	JOSE CLEMENTE PAZ	JOSE CLEMENTE PAZ		AV PTE J D PERON	4346	1665
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	J CUBAS	3418	1419
CORDOBA	CAPITAL	CORDOBA	BAJO GALAN	BV CASTRO BARROS	1176	5008
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	991	1054
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL MITRE	745	1036
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA PAZ GENERAL	13	1429
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	530	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	935	1074
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	E VALDENEGRO	4315	1430
BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		FRENCH	64	1646
BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		M DIAZ VELEZ	1051	1636
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	BRASIL	3237	1260
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	ARAOZ	655	1414
BUENOS AIRES	MORON	EL PALOMAR		FLUGUERTO	1336	1684
BUENOS AIRES	MORON	MORON		DR J M CASULLO	363	1708
BUENOS AIRES		ADOLFO GONZALES CHAVES		CASILLA CORREO	121	7513
CORDOBA			LOS BOULEVARES	ALMOGAVARES	235	5147
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES		AV COLOMBIA	4300	1425
ENTRE RIOS	CONCORDIA	CONCORDIA		PELLEGRINI	1759	3200
BUENOS AIRES	CORONEL BRANDSEN	CORONEL BRANDSEN		CASTELLI	747	1980
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	PICHINCHA	1765	1249
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	AV CABILDO	3642	1429
BUENOS AIRES	SAN ISIDRO	VILLA ADELINA		DEAN FUNES	1570	1607
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	ANTONIO BERUTI	3538	1425
BUENOS AIRES	TANDIL	TANDIL		9 DE JULIO	578	7000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	UGARTECHE	3121	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	SAN BLAS	4549	1407
MENDOZA	CAPITAL	MENDOZA		CNEL PLAZA	446	5500
CORDOBA	CAPITAL	CORDOBA	ALTO ALBERDI	L PINELO	408	5002
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	HOLMBERG	4127	1430
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV A ROLON	716	1642
BUENOS AIRES	TRES DE FEBRERO	LOMA HERMOSA		RIO SALADO	8557	1657
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	MALABIA	460	1414
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		SAENZ PEAA ROQUE		1035
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN CRISTOBAL	ESTADOS UNIDOS	1828	1227
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	PRES JOSE E URIBURU	279	1027
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	1537	1048
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MONTEVIDEO	770	1019
MISIONES		POSADAS		POSADAS		3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV DEL LIBERTADOR	774	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV CABILDO	280	1426
CORRIENTES		ITUZAINGO		ENTRE RIOS	58	3400
BUENOS AIRES	ARRECIFES	ARRECIFES		RICARDO GUTIERREZ		2740
BUENOS AIRES	HURLINGHAM	HURLINGHAM		J DE GARAY	472	1686
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LIBERTAD		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	359	1049
CORDOBA	CAPITAL	CORDOBA	CENTRO	CORRIENTES	81	5000
BUENOS AIRES	TIGRE	TIGRE		AV D M CAZON	585	1648
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	GUARDIA NACIONAL	2292	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	AV REGIMIENTO DE PATRICIOS	78	1265
CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	SUCRE	2385	5001
BUENOS AIRES	OLAVARRIA	SIERRAS BAYAS		RUTA PROVINCIAL 76		7403
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	C CALVO	3773	1230
BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		CONSTITUCION	487	1646
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	HUBAC	5956	1439
CORDOBA	RIO CUARTO	CORONEL MOLDES		AV A TOSCO	199	5847
BUENOS AIRES	ESTEBAN ECHEVERRIA	9 DE ABRIL	1 DE MAYO	M ARBEL	3700	1776
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	JUAN A GARCIA	5154	1407
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV B RIVADAVIA	1319	1033
BUENOS AIRES	LOMAS DE ZAMORA	TEMPERLEY		PASCO	4015	1834
BUENOS AIRES	CAÑUELAS	ALEJANDRO PETION		RP 205		1808
BUENOS AIRES	PILAR	PRESIDENTE DERQUI		SANTA FE	2126	1635
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	J SALGUERO	60	1177
CORDOBA	CAPITAL	CORDOBA	CENTRO	ONCATIVO	50	5000
BUENOS AIRES	ZARATE	ZARATE		J LIMA DE ATUCHA	441	2800
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LAVALLE		
CORRIENTES	CAPITAL	CORRIENTES	LA ROSADA	CORDOBA	341	3400
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR B DE IRIGOYEN	330	1072
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	3243	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	TACUARI	2019	1139
BUENOS AIRES	LA MATANZA	LA TABLADA		MERLO	10	1766
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR A ALSINA	2041	1090
BUENOS AIRES	MERLO	MERLO		CERVANTES	1901	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	CARLOS A LOPEZ	3648	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR L PASTEUR	272	1028
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	G DE LAFERRERE	2793	1406
BUENOS AIRES	CAÑUELAS	CAÑUELAS		DEL CARMEN	441	1814
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	GRAL LUCIO MANSILLA	2668	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	ALVARADO	2354	1290
SIN PROVINCIA		SIN LOCALIDAD		S/N		
SALTA		CERRILLOS		PRO EGIDIO BONATO	225	4403
BUENOS AIRES	SAN ISIDRO	MARTINEZ		DR J JOSE PASO	107	1640
SANTA FE	ROSARIO	ROSARIO	CENTRO	ITALIA	965	2000
BUENOS AIRES	MERLO	SAN ANTONIO DE PADUA		INDEPENDENCIA	705	1718
SANTA FE	CASEROS	CASILDA	NUEVA ROMA	DANTE ALIGHIERI	3103	2170
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	SUR	COMBATE DE SAN LORENZO	247	4000
NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FLORENCIA	JUAN J LASTRA	980	8300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV CORRIENTES	1847	1045
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA REAL	BRUSELAS	1468	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	AV F BEIRO	4201	1419
BUENOS AIRES	VICENTE LOPEZ	VICENTE LOPEZ		AV DEL LIBERTADOR	1742	1638
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	ARRIBEÑOS	2273	1428
MISIONES	CAPITAL	POSADAS	CENTRO	GRAL SIMON BOLIVAR	1450	3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	M RIGLOS	848	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	VALENTIN VIRASORO	1352	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	RIOBAMBA	1026	1116
BUENOS AIRES	HURLINGHAM	HURLINGHAM		BIZET	2985	1686
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	AV CABILDO	4160	1429
BUENOS AIRES	PILAR	DEL VISO		LOBUNO	405	1669
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	NOGOYA	4912	1417
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	CNEL J MOLDES	1931	1428
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	154	1642
CORDOBA	CAPITAL	CORDOBA	VILLA CABRERA	AV O PINTO	3077	5009
BUENOS AIRES	AVELLANEDA	SARANDI		VILLA DE LUJAN	1331	1872
BUENOS AIRES	CAMPANA	CAMPANA		CASTILLA	621	2804
BUENOS AIRES		VILLA LOMA HERMOSA		DIAGONAL 190		1428
BUENOS AIRES	QUILMES	QUILMES		ASCASUBI	472	1878
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	TAGLE	2585	1425
CORDOBA	CAPITAL	CORDOBA	PARQUE LICEO 2DA	BELISARIO ROLDAN	1066	5019
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	DOMINGO F SARMIENTO	539	1041
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AYACUCHO	1075	1111
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	375	1005
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	4990	1425
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		S/N		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	PJE J ESTIVAO	39	1405
RIO NEGRO	SAN ANTONIO	SAN ANTONIO OESTE		GRAL SAN MARTIN	824	8520
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	AV TRIUNVIRATO	5409	1431
LA PAMPA		SANTA ROSA		JUAN B JUSTO	169	6300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DEFENSA	113	1065
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	F VALLESE	2329	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CALLAO	737	1023
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DEAN FUNES	592	1231
BUENOS AIRES	TRES DE FEBRERO	SANTOS LUGARES		ALMAFUERTE	3927	1676
SAN LUIS	GENERAL PEDERNERA	VILLA MERCEDES	ALMIRANTE BROWN	SUIPACHA	783	5730
CORDOBA		PILAR		ZENON LOPEZ	957	5972
CORDOBA		CORDOBA		DUARTE QUIROS	96	5000
CORDOBA		GENERAL DEHEZA		BOULEVARD SAN MARTIN E INTENDENTE URQUIA		5923
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA PUEYRREDON	A VALLEJOS	2409	1419
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	F DE CESPEDES	2473	1426
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA GENERAL SAN MARTIN	AV PTE H YRIGOYEN	6646	1826
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	1345	1055
NEUQUEN	CONFLUENCIA	NEUQUEN	AREA CENTRO OESTE	SGTO J B CABRAL	537	8300
SAN LUIS		LA TOMA		AVENIDA DEL CASTILLO		5750
CORDOBA	JUAREZ CELMAN	LA CARLOTA		M ARRASCAETA	88	2670
MENDOZA	CAPITAL	MENDOZA		AV GRAL SAN MARTIN	931	5500
MENDOZA	CAPITAL	MENDOZA		AV GRAL SAN MARTIN	2745	5500
BUENOS AIRES	ALMIRANTE BROWN	ADROGUE	ALMIRANTE BROWN	AV T ESPORA	645	1846
BUENOS AIRES	VICENTE LOPEZ	FLORIDA		ESCALADA DE SAN MARTIN	1652	1602
BUENOS AIRES	TRES DE FEBRERO	CASEROS	PARTIDO 3 DE FEBRERO	GENERAL HORNOS		
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA COSTANERA NORTE		1426
BUENOS AIRES	LA MATANZA	CIUDAD MADERO		GRAL FRANCISCO A PINTO	755	1768
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	25 DE MAYO	529	1002
BUENOS AIRES	QUILMES	QUILMES		RIVADAVIA	176	1878
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LURO	AV B RIVADAVIA	10142	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA ORTUZAR	VIRREY G AVILES	3883	1427
MENDOZA	CAPITAL	MENDOZA		MARQUES DE AGUADO	745	5500
BUENOS AIRES	LA MATANZA	GONZALEZ CATAN		DR E FINOCHIETTO	5930	1759
SANTA CRUZ	DESEADO	LAS HERAS		AV RAMOS MEJIA	1157	9017
JUJUY	SAN PEDRO	SAN PEDRO	CENTRO	GRAL MITRE	51	4500
MENDOZA		VILLA NUEVA DE GUAYMALLEN		MIGUEL A SERVET	2148	5521
MISIONES	CAPITAL	POSADAS	EL PALOMAR	AV REP ORIENTAL DEL URUGUAY	2780	3300
SALTA	ORAN	SAN RAMON DE LA NUEVA ORAN		DOMINGO F SARMIENTO	435	4530
BUENOS AIRES	LA PLATA	LA PLATA		AV CENTENARIO		1900
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV CORRIENTES	6277	1427
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	CHACO	61	1424
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	AV DR N AVELLANEDA	3158	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	GRITO DE ASENCIO	3169	1437
MENDOZA	GUAYMALLEN	VILLA NUEVA DE GUAYMALLEN		AV LIBERTAD	1152	5521
MISIONES	CAPITAL	POSADAS	CENTRO	CORDOBA	2014	3300
BUENOS AIRES	LA MATANZA	LA TABLADA		OGORMAN	1752	1752
